site,year,individual,x_coordinate,y_coordinate,diameter_1,diameter_2,length,snag_fallen,notes,decomposition_class,taxonomic_id
Mt_lewis_rainforest,2018,31,28.65,26.24,9,10,213,d,flat diameter 2,3,
Mt_lewis_rainforest,2018,32,28.3,23.6,5,9,315,d,flat diameter 2,3,
Mt_lewis_rainforest,2018,33,24.3,24.33,2.1,14.3,269,d,,3,
Mt_lewis_rainforest,2018,34,29.9,22.2,5.8,6.5,123,d,leaning on tree,4,
Mt_lewis_rainforest,2018,35,25.2,24.91,7.1,5,396,s,marc knocked it over,3,
Mt_lewis_rainforest,2018,36,19,30,15,5,1295,d,goes into plot 4,1,
Mt_lewis_rainforest,2018,37,13.2,23.49,13.6,5,109,s,,4,
Mt_lewis_rainforest,2018,38,12.1,24.86,12,8,282,d,flat diameters,3,
Mt_lewis_rainforest,2018,39,10.6,29.1,7,5,190,d,flat diameter 1,3,
Mt_lewis_rainforest,2018,40,4.4,23.25,5.9,7,300,s,diamter 1 is DBH; diamter 2 is bottom,3,
Mt_lewis_rainforest,2018,41,5,36.52,15,15,399,d,palm,4,
Mt_lewis_rainforest,2018,42,7.2,39.55,14,14,366,d,goes into plot 5,3,
Mt_lewis_rainforest,2018,43,10.61,34.29,5,9,124,d,,2,
Mt_lewis_rainforest,2018,44,16.1,39.1,5,5,126,d,,2,
Mt_lewis_rainforest,2018,45,19.59,35.27,8.8,7.5,151,d,,3,
Mt_lewis_rainforest,2018,46,37.3,32.5,8,5,550,d,flat diameter 2; goes into plot 3,3,
Mt_lewis_rainforest,2018,47,47.49,34.25,26,15,557,d,,4,
DRO,2018,99,16.59,37.83,21,35,587,d,flat diameters,4,
DRO,2018,100,13.94,36.32,5,6.3,253,d,,1,
DRO,2018,101,9.68,37.72,35,6.9,1779,,,2,
DRO,2018,102,11.51,39.46,8,6.4,230,d,,3,
DRO,2018,104,6.83,37.17,11.8,11,211,d,,3,PALM
DRO,2018,105,7.94,37.53,12,14,170,d,,3,
DRO,2018,103,7.49,38.65,9,10,148,d,,3,PALM
DRO,2018,106,8.01,37.05,10.5,6,487,s,,1,
DRO,2018,107,7.12,36.35,11.1,13.9,490,d,3,,PALM
DRO,2018,108,5.9,39.13,12,10,211,s,flat diameters,3,
DRO,2018,109,5.94,38.73,15,15.2,270,s,flat diameter 1,3,
